"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"0881 Nybro","Total costs for operations",-691418,-718817,-713920,-754850,-829579,-851712,-864941,-892123,-924173,-977744,-1019279,-1029200,-1090525,-1092339,-1099401,-1124236,-1150206,-1172766,-1304704,-1417902,-1491194,-1584569,-1640480,-1642913,-1687480
"0881 Nybro","Total net current costs",-566386,-586011,-599427,-639464,-706167,-657563,-720438,-741327,-765877,-821093,-878690,-853753,-905971,-912140,-914565,-951368,-1001325,-1000418,-1077666,-1146011,-1215596,-1318967,-1360383,-1409625,-1456540
"0881 Nybro","Tax revenues",429089,455136,485941,511591,524146,541311,545499,570075,606665,641924,679984,678306,683569,699789,696258,711313,722573,744874,794119,825687,841811,860523,854076,897366,941502
"0881 Nybro","General grants and equalisation grants",121443,122965,129221,142581,161099,171496,184273,183891,182142,188880,203633,208989,238087,241986,240916,256383,255339,270242,292976,377622,379626,400337,490062,522482,544954
"0881 Nybro","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-58107,-16245,10223,29916
"0881 Nybro","Financial income",10922,11771,7342,5596,4253,11150,7089,5721,5577,5585,5067,11063,5018,5419,4920,6447,12242,13722,19458,20741,28064,39872,22482,47749,30923
"0881 Nybro","Financial costs",-21845,-19501,-18154,-18413,-18293,-11372,-8176,-6046,-6593,-11621,-22669,-11208,-6305,-15872,-13117,-12426,-9664,-6980,-4643,-2369,-10603,-3209,-4593,-4992,-31955
"0881 Nybro","Net profit/loss after financial items",-26872,-16043,4081,1891,-34962,55022,8247,12314,21914,3675,-12675,32944,13796,19182,14412,10349,-20835,21440,24244,75670,23302,-21444,1644,52980,28884
"0881 Nybro","Net profit/loss for the year",-26872,-21769,4081,1891,-34962,55022,8247,12314,21914,3675,-12675,32944,13796,19182,14412,10349,-20835,21440,24244,75670,23302,-21444,1644,52980,28884
"0882 Oskarshamn","Total income for operations",235800,237596,237647,239640,253633,256844,276609,284281,305727,329297,371311,355683,341872,356538,391689,410938,419978,428199,584806,533583,544789,470979,599312,540438,524905
"0882 Oskarshamn","Total costs for operations",-912535,-947368,-975813,-1067681,-1122066,-1140999,-1188242,-1217178,-1280152,-1410920,-1498467,-1484661,-1498884,-1528214,-1555348,-1582648,-1631633,-1699113,-1951951,-1927272,-2005341,-2013794,-2182767,-2167566,-2262561
"0882 Oskarshamn","Total net current costs",-747200,-786174,-831656,-911798,-952305,-968949,-1002525,-1019687,-1064663,-1187304,-1238262,-1199032,-1231462,-1244026,-1239266,-1603061,-1336413,-1363284,-1461171,-1469923,-1554838,-1626936,-1690263,-1721485,-1837460
"0882 Oskarshamn","Tax revenues",594123,629925,678385,723728,750334,786635,830560,858262,913952,945500,993801,1015634,1029805,1055669,1078937,1105801,1120217,1197268,1291336,1348583,1336036,1374686,1361801,1398818,1471004
"0882 Oskarshamn","General grants and equalisation grants",85527,84771,84369,85185,88874,79500,80999,116130,107668,118484,133162,134979,157701,144677,134787,156242,162651,127362,165362,169490,201223,228849,310175,363989,401269
"0882 Oskarshamn","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-23401,-18287,41322,34813
"0882 Oskarshamn","Financial income",85400,120600,134100,150263,143717,140028,149219,120759,152577,145923,117831,155319,110246,76715,96954,66583,81338,93947,105187,105760,141487,222972,105107,244944,139826
"0882 Oskarshamn","Financial costs",-18400,-42076,-121680,-142734,-215038,-53302,-36992,-29952,-31568,-43531,-365635,-29535,-29067,-108322,-52337,-24978,-12519,-26146,-16965,-18146,-91009,-37581,-47049,-38783,-249417
"0882 Oskarshamn","Net profit/loss after financial items",-1050,5722,-57502,-95902,-184973,-17056,20223,44643,77230,-21991,-360536,75139,36032,-75287,19075,-299413,15274,29147,83749,135764,32899,161990,39771,247483,-74778
"0882 Oskarshamn","Net profit/loss for the year",-1050,857622,-57502,670659,-184973,-17056,20223,44643,77230,-21991,-360536,75139,36032,-47547,19075,-299413,15274,29147,83749,135764,32899,156874,39771,247483,-74778
"0883 Västervik","Total income for operations",319410,328579,326292,341936,386385,399942,406991,371941,402327,425466,392342,374056,403165,438493,371681,341279,316075,368125,478210,486344,455692,423300,447507,446854,503574
"0883 Västervik","Total costs for operations",-1303043,-1394353,-1425241,-1489095,-1579446,-1625200,-1662807,-1679347,-1770416,-1866765,-1913297,-1966345,-2093110,-2195286,-2043204,-2006785,-2080264,-2191598,-2360162,-2453537,-2551286,-2577017,-2689960,-2748588,-2907399
"0883 Västervik","Total net current costs",-1053704,-1139133,-1156134,-1215891,-1264363,-1308904,-1336330,-1394344,-1451357,-1530517,-1611206,-1640078,-1717166,-1793578,-1692899,-1684490,-1784404,-1841664,-1900258,-1986315,-2128287,-2187117,-2268256,-2333592,-2441306
"0883 Västervik","Tax revenues",794151,847544,914669,971518,995296,1026405,1037347,1079489,1145529,1177717,1242800,1239501,1264464,1304638,1309651,1336359,1352876,1408295,1473040,1533972,1548210,1588898,1579199,1653913,1740008
"0883 Västervik","General grants and equalisation grants",249571,244268,245146,247628,262005,283595,296914,331005,344046,370753,377040,393491,437063,424034,424577,435747,468872,457679,478969,527200,563471,604654,696474,739017,774723
"0883 Västervik","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6435,7417,59338,73425
"0883 Västervik","Financial income",16515,17541,25233,31408,52619,46288,41163,37685,37292,39747,41106,38066,64139,66458,81907,59463,29571,27972,27271,30169,32549,31400,28400,26681,31042
"0883 Västervik","Financial costs",-18443,-20315,-27065,-33386,-54941,-51363,-44691,-42967,-41140,-44316,-46423,-39384,-43262,-53620,-55309,-38174,-3075,-1954,-4843,-6557,-3122,-4000,-9936,-2342,-4130
"0883 Västervik","Net profit/loss after financial items",-12302,-52060,-781,598,-10045,-4641,-6340,9969,33534,12157,1838,-10738,4124,-52068,67927,108905,63840,50328,74179,98469,12821,33835,25881,83677,100337
"0883 Västervik","Net profit/loss for the year",-12302,-52060,27969,598,-10045,-4641,-6340,9969,33534,12157,1838,-10738,4124,-59248,67927,108905,63840,50328,74179,76132,12821,33835,25881,83677,100337
"0884 Vimmerby","Total income for operations",118680,125152,131614,130267,163712,176030,181960,164626,174879,190550,175865,187219,139020,144547,159389,159072,148572,187298,225222,203727,201560,184773,197905,191027,206423
"0884 Vimmerby","Total costs for operations",-503158,-526347,-556285,-600097,-632608,-689130,-697990,-692650,-738600,-796844,-815816,-865160,-845781,-834243,-839788,-884060,-920870,-937541,-1029257,-1059959,-1090495,-1133051,-1157027,-1200202,-1246809
"0884 Vimmerby","Total net current costs",-414700,-433825,-455750,-500950,-506871,-551615,-556254,-569725,-603507,-648640,-683837,-704135,-727668,-712268,-705483,-749702,-797874,-785924,-849039,-911476,-920029,-980575,-992998,-1045166,-1078249
"0884 Vimmerby","Tax revenues",309481,333159,364741,381088,400738,421848,428063,453956,480899,497441,539686,542633,549180,563415,571854,583149,595005,614598,657755,684235,696298,722615,720406,753997,786047
"0884 Vimmerby","General grants and equalisation grants",99889,101769,105051,114647,117378,123554,125736,134311,135034,141874,148514,152782,171227,171870,169775,172269,173862,179283,196518,218430,237582,243168,290928,308867,309260
"0884 Vimmerby","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-14792,18336,17698,17058
"0884 Vimmerby","Financial income",10327,11684,8291,7557,7535,18642,15008,9297,13370,13877,14862,17393,15782,17451,19295,16306,17102,20822,23581,24356,27347,46956,22147,55946,29140
"0884 Vimmerby","Financial costs",-2304,-1924,-4282,-4402,-22836,-5624,-6247,-5697,-5161,-6647,-18497,-11705,-11167,-14307,-13763,-10559,-10928,-10701,-9860,-7517,-13710,-9903,-11451,-9831,-49953
"0884 Vimmerby","Net profit/loss after financial items",2454,10287,17382,-3062,-5156,6657,6132,21919,20374,-2519,205,-3869,-3219,26161,41678,11463,-22833,18078,18955,8028,27488,22261,29032,63813,-3755
"0884 Vimmerby","Net profit/loss for the year",2454,10287,139107,16883,-5156,6657,6132,21919,20374,-2519,205,-3869,-3219,26161,41678,11463,-22833,18078,18955,8028,27488,22261,29032,63813,-3755
"0885 Borgholm","Total income for operations",93820,93023,100880,109704,119079,59032,75632,63860,67447,73849,84835,100051,92469,96708,127126,118176,109388,135171,213827,191925,164636,129127,137698,151994,170150
"0885 Borgholm","Total costs for operations",-388562,-411758,-415255,-441319,-439014,-448642,-472878,-486301,-509108,-531900,-565374,-590844,-606256,-614917,-649465,-618642,-643761,-666699,-773958,-807849,-793172,-780614,-777099,-794704,-852184
"0885 Borgholm","Total net current costs",-323198,-345789,-348801,-366676,-361788,-417019,-421638,-446756,-467316,-484788,-508778,-514956,-535249,-535678,-540795,-533726,-553125,-555482,-582815,-637678,-652220,-687368,-670182,-677790,-724240
"0885 Borgholm","Tax revenues",201768,215702,232886,255152,263200,271234,275803,298408,321251,331259,350929,354271,357251,372028,375628,375394,382287,402476,412099,433034,445429,461701,457135,477377,507017
"0885 Borgholm","General grants and equalisation grants",122198,121898,124741,127128,138416,154010,156754,153761,158849,165413,167439,170975,183032,168246,161860,175343,184825,184267,238490,217198,219234,214220,252201,263007,262145
"0885 Borgholm","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11447,39154,62594,44922
"0885 Borgholm","Financial income",1148,925,1425,400,884,1197,2329,2039,2517,2662,1515,1733,1199,3285,3210,2259,3162,2914,3789,4249,9289,4543,10116,3555,11676
"0885 Borgholm","Financial costs",-13072,-10513,-11257,-14291,-12720,-6604,-5812,-4369,-5102,-6458,-9303,-5283,-3377,-7240,-8620,-7453,-6028,-5063,-4526,-4636,-4123,-5103,-4818,-3982,-4695
"0885 Borgholm","Net profit/loss after financial items",-11282,-18345,-1752,827,27046,1993,6532,2280,9561,7346,931,5704,2961,641,-8717,11817,11121,29112,67037,12167,17609,-12007,44453,62167,51903
"0885 Borgholm","Net profit/loss for the year",-11282,-18345,-1752,827,27046,1993,6532,2280,9561,7346,931,5704,2961,641,-8717,11817,11121,29112,67037,12167,17609,-12007,44453,62167,51903
"0980 Gotland","Total income for operations",466480,477987,499268,529355,588221,686865,649410,639750,714731,753347,734754,749715,727588,746629,801674,914303,804142,836090,911695,937091,973484,917378,1042889,1130939,1182233
"0980 Gotland","Total costs for operations",-1907471,-1979551,-2106779,-2265528,-2336603,-2542479,-2548086,-2606145,-2755334,-2869642,-2941270,-3045069,-3142553,-3187327,-3265222,-3313167,-3495304,-3661422,-3768952,-3883856,-4014876,-4139135,-4414694,-4702867,-4854370
"0980 Gotland","Total net current costs",-1556989,-1624528,-1727495,-1867570,-1883298,-2002795,-2051932,-2131548,-2249274,-2319426,-2409661,-2435614,-2547002,-2577957,-2608737,-2553138,-2833703,-2974289,-3011592,-3113497,-3190806,-3387507,-3554908,-3769037,-3885655
"0980 Gotland","Tax revenues",1072718,1129573,1225578,1328642,1382651,1456758,1487237,1564152,1691924,1748460,1830583,1843462,1876291,1961136,2028465,2066466,2139751,2236575,2333997,2437143,2488353,2569342,2569009,2724149,2898459
"0980 Gotland","General grants and equalisation grants",474459,483597,499342,509242,547430,568698,562075,629630,623306,629109,621862,626741,693376,644860,625854,651698,700567,697553,726284,776766,813823,882408,1099484,1145697,1194854
"0980 Gotland","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64243,113585,100809,207659
"0980 Gotland","Financial income",18761,16182,15031,14219,21108,13323,14176,13213,9753,3641,5012,13339,9799,11474,14756,14609,15677,14528,15077,12156,22731,36351,19703,55138,10783
"0980 Gotland","Financial costs",-41855,-36236,-29899,-28961,-32001,-27423,-21884,-20296,-20847,-18924,-23563,-16046,-15889,-47438,-36522,-64895,-14463,-15397,-10565,-14508,-13725,-27459,-32837,-15865,-64303
"0980 Gotland","Net profit/loss after financial items",-34063,-33847,-21484,-49872,29438,1446,-12578,52466,52764,40210,16698,21263,12999,-7925,23817,114741,7829,-41031,53201,98060,120377,73134,100452,140082,154138
"0980 Gotland","Net profit/loss for the year",-34063,-33847,-21484,-49872,29438,1446,-12578,52466,52764,40210,16698,21263,12999,-7925,23817,114741,7829,-41031,53201,98060,120377,73134,100452,140082,154138
"1060 Olofström","Total income for operations",127299,126925,119982,122212,116639,118594,107579,110373,120517,115952,119666,123001,124673,130048,154086,158324,161244,202491,256293,249676,242139,209098,234711,236318,206750
"1060 Olofström","Total costs for operations",-496990,-514628,-527378,-537731,-533954,-563580,-582760,-595431,-621530,-648442,-673696,-667612,-686228,-704647,-747010,-760297,-852698,-840315,-912592,-981024,-1003315,-999486,-1050373,-1057675,-1063478
"1060 Olofström","Total net current costs",-393336,-415316,-432725,-441848,-446649,-472258,-503658,-513856,-533832,-569037,-596626,-569535,-604092,-604013,-618633,-634834,-712776,-659200,-678742,-764129,-787679,-811541,-838220,-844887,-883610
"1060 Olofström","Tax revenues",327158,345807,369254,391416,398322,407718,400828,429282,451680,467147,484801,487227,480934,477021,486351,505940,516166,535482,559785,581018,600070,617498,611319,625094,649234
"1060 Olofström","General grants and equalisation grants",55055,51154,48977,52568,62451,81061,76568,90574,91521,101943,100127,106895,134786,131784,140194,132852,130278,129021,143346,179797,167163,208017,232572,254040,268965
"1060 Olofström","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13974,5671,34248,34589
"1060 Olofström","Financial income",4470,4424,3530,3691,15515,16367,16936,14688,12904,12478,13378,5106,3542,6052,7218,5477,65970,10950,9596,8643,9217,9820,8142,7867,11060
"1060 Olofström","Financial costs",-3520,-4654,-9801,-9660,-9436,-9471,-8127,-7316,-5801,-7895,-9650,-2032,-736,-5200,-1797,-533,-329,-349,-609,-463,-354,-904,-734,-680,-11303
"1060 Olofström","Net profit/loss after financial items",-10434,-19135,-21596,-5410,18258,21931,-19030,11401,14168,2909,-10128,24726,12750,5644,13333,8902,-691,15904,33376,4866,-11583,22890,13079,41435,34346
"1060 Olofström","Net profit/loss for the year",-18584,-114135,-23541,151090,71557,21931,-19030,11401,14168,2909,-10128,24726,12750,5644,13333,8902,-691,15904,33376,4866,-11583,22890,13079,41435,34346
"1080 Karlskrona","Total income for operations",497080,516019,547280,564505,587237,609376,627790,689194,760357,798174,793879,764700,749805,730236,807984,767884,765875,827802,1005582,1019395,991316,988509,978449,992481,984908
"1080 Karlskrona","Total costs for operations",-1858429,-1974369,-2019339,-2171404,-2321149,-2436293,-2549384,-2687982,-2886858,-3055913,-3213037,-3350027,-3453078,-3473071,-3629494,-3686125,-3866954,-4031235,-4411319,-4603804,-4748293,-4735302,-4733111,-4871591,-5052194
"1080 Karlskrona","Total net current costs",-1502477,-1601914,-1684954,-1780073,-1903495,-2012324,-2080852,-2167176,-2301086,-2434793,-2592147,-2691668,-2806996,-2850960,-2934601,-3040999,-3227374,-3332630,-3539943,-3722230,-3874759,-3865036,-3892376,-4028600,-4236947
"1080 Karlskrona","Tax revenues",1269662,1359033,1478128,1603471,1696794,1774206,1833441,1895547,2008408,2097590,2227005,2238388,2255157,2339293,2402486,2489098,2544543,2737996,2870872,2988719,3074111,3118182,3103469,3271720,3460663
"1080 Karlskrona","General grants and equalisation grants",285113,272827,269600,256965,247020,262667,245400,281837,313590,354254,349532,384028,520856,542262,527222,564025,626779,639409,756868,777195,783550,780255,930648,914792,938760
"1080 Karlskrona","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33401,141741,157912,162476
"1080 Karlskrona","Financial income",44211,55752,56056,60771,87049,97010,88188,91386,94772,87355,139529,174076,187000,127977,197896,190449,190973,117256,96431,107933,92971,75538,57380,66621,86935
"1080 Karlskrona","Financial costs",-91279,-82646,-86243,-91528,-102982,-110286,-99349,-92726,-83803,-90913,-112965,-111464,-104220,-144601,-190516,-181082,-144351,-97648,-72712,-58756,-52618,-52306,-58069,-51045,-62989
"1080 Karlskrona","Net profit/loss after financial items",4393,688,28241,48644,23434,10495,-14034,7815,30883,11965,8872,-10306,50080,13971,2487,21491,-9430,64383,111516,92861,23255,56633,141052,173488,186422
"1080 Karlskrona","Net profit/loss for the year",36722,-25712,28241,48644,23434,10495,-14034,7815,30494,11965,8872,-10306,50080,13971,2487,21491,-9430,64383,111516,92861,23255,56633,141052,173488,186422
"1081 Ronneby","Total income for operations",176331,164411,163609,166749,171124,190689,185762,193387,239667,238225,233210,246842,249506,245519,289613,279534,283982,342904,424323,479707,484135,461595,472659,455674,483666
"1081 Ronneby","Total costs for operations",-872120,-876286,-921760,-950238,-992473,-1059755,-1066805,-1113121,-1182639,-1250097,-1309816,-1364424,-1406832,-1432242,-1463580,-1540380,-1597434,-1717544,-1916727,-2051525,-2154022,-2171454,-2236929,-2316729,-2379959
"1081 Ronneby","Total net current costs",-738530,-780541,-807631,-848270,-878588,-929537,-946942,-993408,-1028939,-1096515,-1163294,-1181345,-1243564,-1262463,-1243296,-1330568,-1383181,-1446517,-1568001,-1646896,-1749056,-1792385,-1850512,-1951225,-1993850
"1081 Ronneby","Tax revenues",572804,613911,664229,715049,751445,791636,810796,842370,897279,931640,982266,1024640,1028705,1044315,1062306,1094067,1098348,1144917,1182533,1219537,1248467,1269555,1253866,1313544,1376683
"1081 Ronneby","General grants and equalisation grants",163822,146615,140609,135717,141492,149634,141813,154159,154977,171004,172179,182685,238218,236720,229497,259312,293105,319448,406557,448767,503229,526113,664363,691856,710982
"1081 Ronneby","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3283,67717,54175,93815
"1081 Ronneby","Financial income",22106,15801,16081,15522,18417,20201,20229,16366,13834,14621,12903,14676,14062,16810,12948,9585,8145,6339,8955,9159,12597,11634,13376,13775,16262
"1081 Ronneby","Financial costs",-16682,-14251,-15288,-14468,-19886,-19905,-20300,-18282,-17310,-23588,-28792,-17276,-12921,-27688,-24217,-18634,-12080,-7124,-3594,-2323,-2461,-3579,-3467,-2178,-7337
"1081 Ronneby","Net profit/loss after financial items",3150,-19419,-3435,3317,12485,11625,5128,800,19384,-3441,-25488,22101,24101,7694,37238,13762,4337,17063,26450,28244,12776,11338,77626,65772,102740
"1081 Ronneby","Net profit/loss for the year",-53050,-19419,-3435,5017,10085,11625,7398,3540,19384,-3441,-25488,22101,24101,7694,37238,13762,4337,17063,26450,28244,12776,11338,77626,65772,102740
"1082 Karlshamn","Total income for operations",248751,258053,244484,257315,262276,283466,287693,287722,317422,339563,312517,326605,335485,345189,389369,398954,397847,425995,500459,520977,510246,432357,408055,384224,437471
"1082 Karlshamn","Total costs for operations",-1022788,-1064995,-1105406,-1170471,-1197601,-1253609,-1274772,-1333109,-1398888,-1470599,-1508292,-1562886,-1610838,-1675204,-1744976,-1807920,-1915664,-1983007,-2148422,-2220674,-2366064,-2292396,-2322643,-2362316,-2445896
"1082 Karlshamn","Total net current costs",-834814,-874583,-922985,-979745,-1009410,-1050926,-1081502,-1136897,-1162521,-1222355,-1281935,-1305068,-1340840,-1398192,-1428983,-1495177,-1602316,-1644467,-1739011,-1795890,-1984566,-1952730,-2021055,-2088150,-2106974
"1082 Karlshamn","Tax revenues",707519,742376,796488,863914,887595,944791,950803,990666,1044423,1089926,1139557,1151976,1157722,1183648,1211435,1254839,1280610,1324010,1378695,1436206,1475990,1498936,1485971,1601108,1684346
"1082 Karlshamn","General grants and equalisation grants",99922,99167,92969,98400,103577,105510,126631,149852,151956,158840,171032,184372,236689,247872,263908,285529,305605,316842,372591,382836,414112,436401,527470,548700,561716
"1082 Karlshamn","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-17393,-7614,61658,139088
"1082 Karlshamn","Financial income",33240,26226,31395,30057,15690,15593,15047,13192,11918,18647,19846,21678,18078,11664,5058,7817,7903,5089,8158,8840,9860,12934,14887,16430,26000
"1082 Karlshamn","Financial costs",-18586,-14786,-13278,-13187,-14374,-10712,-8917,-8279,-5946,-9621,-11798,-7641,-6678,-8028,-7822,-5319,-5678,528,-4549,-5471,-24993,-2556,-2635,-22815,-131953
"1082 Karlshamn","Net profit/loss after financial items",-13159,-22807,-16280,-914,-17247,3870,1555,7908,39424,35077,36368,44851,64856,36964,43596,47689,-13876,2002,15884,26521,-109597,-7015,4638,55273,33135
"1082 Karlshamn","Net profit/loss for the year",-13159,-22807,-16280,-914,-17247,3870,1555,7908,39424,35077,36368,44851,64856,36964,43596,47689,-13876,2002,15884,26521,-109597,-7015,4638,55273,33135
"1083 Sölvesborg","Total income for operations",126659,130699,123418,123685,126705,139171,149146,154471,165180,176495,164524,131913,130928,143464,175883,183081,161124,178318,220292,217594,219037,219054,228411,225954,260900
"1083 Sölvesborg","Total costs for operations",-520916,-548926,-570391,-591345,-616711,-651588,-674742,-703229,-742166,-777576,-808280,-808100,-839655,-864325,-903497,-937271,-982670,-1022568,-1097919,-1147021,-1173868,-1186033,-1216065,-1265828,-1381702
"1083 Sölvesborg","Total net current costs",-421296,-446897,-477599,-507365,-532871,-557731,-567900,-590584,-618992,-643372,-686882,-699638,-735110,-746880,-756018,-783066,-851404,-874639,-907682,-959601,-984214,-998402,-1021964,-1095952,-1157356
"1083 Sölvesborg","Tax revenues",335926,360535,396270,424132,449231,478006,489343,510529,546074,568178,586512,591139,602472,614779,630739,659962,670860,697693,725879,761845,782506,792866,796462,834202,885314
"1083 Sölvesborg","General grants and equalisation grants",74911,73510,74423,78729,75448,78290,73555,81100,74125,79395,96712,108845,141629,136005,140287,144725,163149,171615,192466,224305,218778,220550,261624,277920,283221
"1083 Sölvesborg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15015,36122,16170,11179
"1083 Sölvesborg","Financial income",2773,9493,10143,10962,11669,8906,9309,7147,4060,6038,9454,5417,4379,2923,4139,7365,6239,9453,7761,9232,8601,8366,8056,10360,12986
"1083 Sölvesborg","Financial costs",-5244,-2569,-3882,-5968,-6762,-4772,-2548,-729,-1095,-2423,-3666,-1190,-1430,-2801,-4703,-5314,-4175,-3079,-2118,-1631,-5576,-796,-752,-641,-11115
"1083 Sölvesborg","Net profit/loss after financial items",-12930,-6450,-1207,380,-3506,2467,1453,7175,3903,7651,1967,4313,11825,4026,14444,23672,-15331,1043,16306,34150,20095,22585,43425,25889,13050
"1083 Sölvesborg","Net profit/loss for the year",146700,-6450,-1207,380,-3506,46480,1453,7175,3903,7651,1967,4313,11825,4026,14444,23672,-15331,1043,16306,34150,20095,22585,43425,25889,13050
"1214 Svalöv","Total income for operations",86938,90711,93781,97626,108107,118771,125247,127939,138251,148276,210000,242646,146309,176344,239800,227532,226724,265373,314841,294296,284183,289798,380856,381540,310613
"1214 Svalöv","Total costs for operations",-384109,-400175,-417423,-438646,-476365,-509319,-528901,-551661,-583657,-617658,-707015,-761430,-694142,-735951,-814000,-819645,-854463,-918309,-1000068,-1022192,-1049270,-1084567,-1194112,-1225500,-1202926
"1214 Svalöv","Total net current costs",-312995,-337883,-350579,-375863,-398462,-420964,-426598,-448356,-470586,-497059,-529086,-539146,-566088,-572812,-584900,-604825,-641260,-668314,-702159,-747112,-786036,-816375,-837398,-871892,-924084
"1214 Svalöv","Tax revenues",241833,255069,273900,292200,303834,312994,319949,332579,352281,370401,392070,406262,420223,436247,447435,458266,466463,492250,515868,546472,562637,578208,588413,614684,663650
"1214 Svalöv","General grants and equalisation grants",80774,82467,80238,86601,99974,112359,106482,119048,126541,129360,134781,132956,150760,150795,151312,159587,168231,173781,200590,199662,216523,232237,267666,266062,272195
"1214 Svalöv","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-5929,18681,8854,11761
"1214 Svalöv","Financial income",2406,1790,1460,1442,1300,1436,3500,2203,1935,3502,2713,5416,2117,5636,5000,2772,2727,4222,3649,2675,13332,26007,29096,24925,14578
"1214 Svalöv","Financial costs",-2339,-2998,-2650,-2923,-3092,-4152,-3806,-3700,-3279,-3317,-5147,-5224,-3664,-5161,-5100,-2365,-1402,-1124,-930,-1069,-849,-586,-3170,-8789,-19740
"1214 Svalöv","Net profit/loss after financial items",9679,-1964,2096,1349,3446,1565,-567,1774,6814,2780,-4779,35,3236,14705,13747,13435,-5241,815,17018,628,5607,19492,44607,24989,6599
"1214 Svalöv","Net profit/loss for the year",9679,-1964,2096,1349,3446,1565,-567,1774,6814,2780,-4779,35,3236,14705,13747,13435,-5241,815,17018,628,5607,22956,47907,24989,6599
"1230 Staffanstorp","Total income for operations",138100,159389,147086,147290,126476,170306,144725,131585,159355,149167,164230,169223,163024,244847,202710,211590,231932,250398,419333,387827,395074,323044,317064,421510,416381
"1230 Staffanstorp","Total costs for operations",-521700,-570507,-587647,-621133,-650935,-692053,-721439,-767982,-799228,-859041,-905952,-934072,-987894,-1062091,-1078872,-1105200,-1195988,-1252694,-1415408,-1458807,-1568212,-1602813,-1678137,-1834183,-1907582
"1230 Staffanstorp","Total net current costs",-410300,-447418,-476023,-517403,-565480,-552312,-609390,-658561,-677717,-731432,-774662,-781340,-844374,-839968,-902517,-924814,-994306,-1032911,-1027467,-1105881,-1208277,-1317319,-1400468,-1455206,-1533859
"1230 Staffanstorp","Tax revenues",428711,455445,497271,536519,569755,605706,628505,643774,681530,687844,731180,745387,758124,801409,824890,866474,881604,924661,985277,1033944,1053005,1115455,1129094,1221686,1294025
"1230 Staffanstorp","General grants and equalisation grants",7653,3013,-541,533,1167,-3241,-5977,15328,28340,46522,48363,57646,95571,86857,90348,98200,102443,95545,100028,112891,169247,223334,307743,324204,310303
"1230 Staffanstorp","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21470,36369,90684,70469
"1230 Staffanstorp","Financial income",5900,5900,6586,7000,7496,12987,9610,29152,28273,14955,16291,20312,18263,16187,22761,20900,12161,35653,15229,33391,79096,61751,30630,86456,11883
"1230 Staffanstorp","Financial costs",-10414,-8709,-7727,-6938,-6494,-7414,-6422,-5000,-7083,-292,-1334,-4693,-1545,-5736,-8143,-9903,-21663,-33300,-54255,-10634,-29504,-11338,-6957,-6319,-51776
"1230 Staffanstorp","Net profit/loss after financial items",21264,7640,18989,19349,6123,55547,16140,24518,53178,17382,19572,36729,25926,58749,27339,50857,-19761,-10352,18812,63711,63567,71883,60042,170821,30576
"1230 Staffanstorp","Net profit/loss for the year",21264,7640,18989,19349,6123,55547,17657,113392,53178,17382,19572,36729,25926,58749,27339,50857,-19761,-10352,18812,63711,63567,71883,60042,170821,30576
"1231 Burlöv","Total income for operations",77249,116086,82982,93767,104677,111756,109383,104389,128057,211528,183593,112570,117109,99297,122228,128187,218450,152542,223990,260516,236801,215776,185199,181129,251871
"1231 Burlöv","Total costs for operations",-422778,-460002,-470483,-500084,-537572,-563909,-573353,-601975,-633114,-684644,-772159,-720818,-744196,-776231,-810371,-871103,-900167,-929419,-1017534,-1062278,-1110591,-1271456,-1212849,-1254462,-1313286
"1231 Burlöv","Total net current costs",-365424,-366905,-412023,-431017,-474654,-481136,-495818,-530791,-541974,-511714,-631257,-637619,-658963,-708722,-720256,-786424,-715988,-837519,-836232,-848030,-919409,-1102737,-1104469,-1121935,-1122310
"1231 Burlöv","Tax revenues",300635,320882,346220,368885,379857,409326,429949,429266,452426,466337,490108,493672,505318,532234,548366,564529,576000,600799,631539,655455,678230,698229,699228,760591,828132
